"player","team","year","war","g","pa","ab","r","h","x2b","x3b","hr","rbi","sb","cs","bb","so","ba","obp","slg","ops","ops_plus","r_oba","rbat","tb","gidp","hbp","sh","sf","ibb","pos","awards","war_to_2","g_to_2","pa_to_2","ab_to_2","r_to_2","h_to_2","x2b_to_2","x3b_to_2","hr_to_2","rbi_to_2","sb_to_2","cs_to_2","bb_to_2","so_to_2","ba_to_2","obp_to_2","slg_to_2","ops_to_2","ops_plus_to_2","r_oba_to_2","rbat_to_2","tb_to_2","gidp_to_2","hbp_to_2","sh_to_2","sf_to_2","ibb_to_2","dummy_team_change","position","age","years_contract","contract_value","average_annual_contract_value","years_experience","id_contract"
"Adeiny Hechavarria","ATL","2020",-0.2,27,63,59,7,15,3,0,0,2,0,0,4,12,0.254,0.302,0.305,0.607,61,0.285,63,18,1,0,0,0,0,"4/56HD",0,-0.2,27,63,59,7,15,3,0,0,2,0,0,4,12,0.254,0.302,0.305,0.607,61,0.285,63,18,1,0,0,0,0,0,"SS",31.3,1,1000000,1000000,7.037,49
"Adrian Sampson","TEX","2019",0.1,3,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0.444,172,0,0,0,0,0,0,"1",0,0.1,3,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0.444,172,0,0,0,0,0,0,1,"SP",27.8,1,691688.341292727,691688.341292727,0,50
"Adrian Sampson","CHC","2021",-0.1,10,11,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,-100,0,-265,0,0,0,4,0,0,"1/H",0,-0.1,10,11,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,-100,0,-265,0,0,0,4,0,0,1,"RP",29.8,1,674990.669239509,674990.669239509,1,51
"Aj Burnett","PHI","2014",0.1,30,65,60,5,8,2,0,0,1,0,0,3,23,0.133,0.175,0.167,0.341,-4,0.175,-16,10,2,0,2,0,0,"1",0,0.1,30,65,60,5,8,2,0,0,1,0,0,3,23,0.133,0.175,0.167,0.341,-4,0.175,-16,10,2,0,2,0,0,1,"SP/SP3",37.6,1,16000000,16000000,14.038,53
"Aj Burnett","PIT","2015",-0.1,24,52,42,1,5,0,0,1,5,0,0,0,20,0.119,0.116,0.19,0.307,-17,0.132,-73,8,1,0,9,1,0,"1",1,-0.1,24,52,42,1,5,0,0,1,5,0,0,0,20,0.119,0.116,0.19,0.307,-17,0.132,-73,8,1,0,9,1,0,1,"SP/SP3",38.6,1,8500000,8500000,15.038,54
"Aj Cole","TOR","2021",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"/1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RP",29.6,1,1000000,1000000,3.124,56
"Aj Ellis","MIA","2017",0.6,51,163,143,17,30,5,0,6,14,0,0,12,29,0.21,0.298,0.371,0.669,82,0.299,84,53,6,6,2,0,0,"2H",0,0.6,51,163,143,17,30,5,0,6,14,0,0,12,29,0.21,0.298,0.371,0.669,82,0.299,84,53,6,6,2,0,0,1,"C",36.3,1,2500000,2500000,6.151,57
"Aj Ellis","SDP","2018",0.2,66,183,151,19,41,8,0,1,15,0,0,26,37,0.272,0.378,0.344,0.722,104,0.326,105,52,2,1,3,2,1,"2H/7D",0,0.2,66,183,151,19,41,8,0,1,15,0,0,26,37,0.272,0.378,0.344,0.722,104,0.326,105,52,2,1,3,2,1,1,"C",37.3,1,1592005.90142294,1592005.90142294,7.151,58
"Aj Griffin","TEX","2016",0,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,-148,0,0,0,0,0,0,"1",0,0,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,-148,0,0,0,0,0,0,1,"RP",28.5,1,507500,507500,3.034,59
"Aj Pierzynski","TEX","2013",1.8,134,529,503,48,137,24,1,17,70,1,1,11,76,0.272,0.297,0.425,0.722,95,0.32,94,214,14,9,0,6,2,"2DH",0,1.8,134,529,503,48,137,24,1,17,70,1,1,11,76,0.272,0.297,0.425,0.722,95,0.32,94,214,14,9,0,6,2,1,NA,36.6,1,7500000,7500000,12.1,61
