"player","position","year","team","team_whole_name","age","years_experience","id_contract","contract_value","average_annual_contract_value","dummy_team_change","years_contract","initial_contract_year","reference_end_contract_year","awards","MVP_price","CYA_price","SS_price","team_g","team_w","team_l","team_divs","team_playoffs","team_games_over_500","team_pnnts","team_ws","team_hof","team_r","team_ab","team_h","team_hr","team_ra","team_w_l_percent","team_ba","team_era","war","war_to_2","g","pa","ab","r","h","x2b","x3b","hr","rbi","sb","cs","bb","so","gidp","hbp","sh","sf","ibb","ba","obp","slg","ops","ops_plus","r_oba","rbat","tb","pos","leader","g_to_2","pa_to_2","ab_to_2","r_to_2","h_to_2","x2b_to_2","x3b_to_2","hr_to_2","rbi_to_2","sb_to_2","cs_to_2","bb_to_2","so_to_2","gidp_to_2","hbp_to_2","sh_to_2","sf_to_2","ibb_to_2","ba_to_2","obp_to_2","slg_to_2","ops_to_2","ops_plus_to_2","r_oba_to_2","rbat_to_2","tb_to_2","leader_to_2"
"Adeiny Hechavarria","NH","2019","NYM","New York Mets",30.3,6.06,48,3000000,3000000,1,1,"2019","2019",0,0,0,0,162,86,76,0,0,10,0,0,0,791,5624,1445,242,737,0.481,0.25,3.79,0.8,0.64,84,221,203,34,49,12,1,9,33,3,1,14,48,3,3,0,1,0,0.241,0.299,0.443,0.742,92,0.33,99,90,"46H/5D",0,7056,48841,41209,1156,2401,144,1,81,1089,9,1,196,2304,9,9,0,1,0,0.058081,0.089401,0.196249,0.550564,8464,0.1089,9801,8100,0
"Adeiny Hechavarria","NH","2020","ATL","Atlanta Braves",31.3,7.037,49,1000000,1000000,0,1,"2020","2020",0,0,0,0,60,35,25,1,1,10,0,0,1,348,2074,556,103,288,0.501,0.26,3.67,-0.2,0.04,27,63,59,7,15,3,0,0,2,0,0,4,12,1,0,0,0,0,0.254,0.302,0.305,0.607,61,0.285,63,18,"4/56HD",0,729,3969,3481,49,225,9,0,0,4,0,0,16,144,1,0,0,0,0,0.064516,0.091204,0.093025,0.368449,3721,0.081225,3969,324,0
"Adrian Sampson","NH","2019","TEX","Texas Rangers",27.8,0,50,691688.341292727,691688.341292727,1,1,"2019","2019",0,0,0,0,162,78,84,0,0,-6,0,0,1,810,5540,1374,223,878,0.478,0.259,4.28,0.1,0.01,3,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-100,0.444,172,0,"1",0,9,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10000,0.197136,29584,0,0
"Adrian Sampson","NH","2021","CHC","Chicago Cubs",29.8,1,51,674990.669239509,674990.669239509,1,1,"2021","2021",0,0,0,0,162,71,91,0,0,-20,0,0,0,705,5306,1255,210,839,0.513,0.262,3.69,-0.1,0.01,10,11,7,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,-100,0,-265,0,"1/H",0,100,121,49,0,0,0,0,0,0,0,0,0,49,0,0,16,0,0,0,0,0,0,10000,0,70225,0,0
"Aj Burnett","NH","2014","PHI","Philadelphia Phillies",37.6,14.038,53,16000000,16000000,1,1,"2014","2014",0,0,0,0,159,73,89,0,0,-16,0,0,0,619,5603,1356,125,687,0.473,0.261,3.96,0.1,0.01,30,65,60,5,8,2,0,0,1,0,0,3,23,2,0,2,0,0,0.133,0.175,0.167,0.341,-4,0.175,-16,10,"1",0,900,4225,3600,25,64,4,0,0,1,0,0,9,529,4,0,4,0,0,0.017689,0.030625,0.027889,0.116281,16,0.030625,256,100,0
"Aj Burnett","NH","2015","PIT","Pittsburgh Pirates",38.6,15.038,54,8500000,8500000,1,1,"2015","2015",1,0,0,0,162,98,64,0,1,34,0,0,0,697,5631,1462,140,596,0.504,0.265,3.71,-0.1,0.01,24,52,42,1,5,0,0,1,5,0,0,0,20,1,0,9,1,0,0.119,0.116,0.19,0.307,-17,0.132,-73,8,"1",0,576,2704,1764,1,25,0,0,1,25,0,0,0,400,1,0,81,1,0,0.014161,0.013456,0.0361,0.094249,289,0.017424,5329,64,0
"Aj Cole","NH","2021","TOR","Toronto Blue Jays",29.6,3.124,56,1000000,1000000,0,1,"2021","2021",0,0,0,0,162,91,71,0,0,20,0,0,0,846,5476,1455,262,663,0.496,0.261,4.23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"/1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aj Ellis","NH","2017","MIA","Miami Marlins",36.3,6.151,57,2500000,2500000,1,1,"2017","2017",0,0,0,0,162,77,85,0,0,-8,0,0,2,778,5602,1497,194,822,0.47,0.258,4.27,0.6,0.36,51,163,143,17,30,5,0,6,14,0,0,12,29,6,6,2,0,0,0.21,0.298,0.371,0.669,82,0.299,84,53,"2H",0,2601,26569,20449,289,900,25,0,36,196,0,0,144,841,36,36,4,0,0,0.0441,0.088804,0.137641,0.447561,6724,0.089401,7056,2809,0
"Aj Ellis","NH","2018","SD","San Diego Padres",37.3,7.151,58,1592005.90142294,1592005.90142294,1,1,"2018","2018",0,0,0,0,162,66,96,0,0,-30,0,0,1,617,5486,1289,162,767,0.461,0.25,3.96,0.2,0.04,66,183,151,19,41,8,0,1,15,0,0,26,37,2,1,3,2,1,0.272,0.378,0.344,0.722,104,0.326,105,52,"2H/7D",0,4356,33489,22801,361,1681,64,0,1,225,0,0,676,1369,4,1,9,4,1,0.073984,0.142884,0.118336,0.521284,10816,0.106276,11025,2704,0
"Aj Griffin","NH","2016","TEX","Texas Rangers",28.5,3.034,59,507500,507500,1,1,"2016","2016",0,0,0,0,162,95,67,1,1,28,0,0,0,765,5525,1446,215,757,0.479,0.26,4.24,0,0,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,-100,0,-148,0,"1",0,1,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,10000,0,21904,0,0
"Aj Pierzynski",NA,"2013","TEX","Texas Rangers",36.6,12.1,61,7500000,7500000,1,1,"2013","2013",0,0,0,0,163,91,72,0,0,19,0,0,0,730,5585,1465,176,636,0.477,0.26,4.24,1.8,3.24,134,529,503,48,137,24,1,17,70,1,1,11,76,14,9,0,6,2,0.272,0.297,0.425,0.722,95,0.32,94,214,"2DH",0,17956,279841,253009,2304,18769,576,1,289,4900,1,1,121,5776,196,81,0,36,4,0.073984,0.088209,0.180625,0.521284,9025,0.1024,8836,45796,0
"Aj Pierzynski",NA,"2014","BOS","Boston Red Sox",37.6,13.1,62,4375000,4375000,1,1,"2014","2014",0,0,0,0,162,71,91,0,0,-20,1,1,0,634,5551,1355,123,715,0.517,0.267,3.9,-0.7,0.49,102,362,338,25,85,12,1,5,37,0,1,14,54,13,5,1,4,2,0.251,0.288,0.337,0.625,75,0.28,67,114,"2H/D",0,10404,131044,114244,625,7225,144,1,25,1369,0,1,196,2916,169,25,1,16,4,0.063001,0.082944,0.113569,0.390625,5625,0.0784,4489,12996,0
"Aj Pierzynski",NA,"2015","ATL","Atlanta Braves",38.6,14.1,63,2000000,2000000,1,1,"2015","2015",0,0,0,0,162,67,95,0,0,-28,0,0,1,573,5420,1361,100,760,0.501,0.26,3.64,1.3,1.69,113,436,407,38,122,24,1,9,49,0,2,19,37,19,7,0,3,2,0.3,0.339,0.43,0.769,112,0.342,115,175,"2/HD",0,12769,190096,165649,1444,14884,576,1,81,2401,0,4,361,1369,361,49,0,9,4,0.09,0.114921,0.1849,0.591361,12544,0.116964,13225,30625,0
